subject,classname,img,filepath
synthetic,c0,img_10012_synthetic_0_0.png,c0/img_10012_synthetic_0_0.png
synthetic,c0,img_25094_synthetic_0_0.png,c0/img_25094_synthetic_0_0.png
synthetic,c0,img_3370_synthetic_0_0.png,c0/img_3370_synthetic_0_0.png
synthetic,c0,img_35779_synthetic_0_0.png,c0/img_35779_synthetic_0_0.png
synthetic,c0,img_44733_synthetic_0_0.png,c0/img_44733_synthetic_0_0.png
synthetic,c1,img_15559_synthetic_0_0.png,c1/img_15559_synthetic_0_0.png
synthetic,c1,img_16856_synthetic_0_0.png,c1/img_16856_synthetic_0_0.png
synthetic,c1,img_4562_synthetic_0_0.png,c1/img_4562_synthetic_0_0.png
synthetic,c1,img_58564_synthetic_0_0.png,c1/img_58564_synthetic_0_0.png
synthetic,c1,img_8410_synthetic_0_0.png,c1/img_8410_synthetic_0_0.png
synthetic,c2,img_101258_synthetic_0_0.png,c2/img_101258_synthetic_0_0.png
synthetic,c2,img_14459_synthetic_0_0.png,c2/img_14459_synthetic_0_0.png
synthetic,c2,img_22889_synthetic_0_0.png,c2/img_22889_synthetic_0_0.png
synthetic,c2,img_42941_synthetic_0_0.png,c2/img_42941_synthetic_0_0.png
synthetic,c2,img_95640_synthetic_0_0.png,c2/img_95640_synthetic_0_0.png
synthetic,c3,img_11230_synthetic_0_0.png,c3/img_11230_synthetic_0_0.png
synthetic,c3,img_1565_synthetic_0_0.png,c3/img_1565_synthetic_0_0.png
synthetic,c3,img_44764_synthetic_0_0.png,c3/img_44764_synthetic_0_0.png
synthetic,c3,img_46464_synthetic_0_0.png,c3/img_46464_synthetic_0_0.png
synthetic,c3,img_47604_synthetic_0_0.png,c3/img_47604_synthetic_0_0.png
synthetic,c4,img_35055_synthetic_0_0.png,c4/img_35055_synthetic_0_0.png
synthetic,c4,img_40600_synthetic_0_0.png,c4/img_40600_synthetic_0_0.png
synthetic,c4,img_47934_synthetic_0_0.png,c4/img_47934_synthetic_0_0.png
synthetic,c4,img_48852_synthetic_0_0.png,c4/img_48852_synthetic_0_0.png
synthetic,c4,img_51208_synthetic_0_0.png,c4/img_51208_synthetic_0_0.png
synthetic,c6,img_43580_synthetic_0_0.png,c6/img_43580_synthetic_0_0.png
synthetic,c6,img_45361_synthetic_0_0.png,c6/img_45361_synthetic_0_0.png
synthetic,c6,img_78546_synthetic_0_0.png,c6/img_78546_synthetic_0_0.png
synthetic,c6,img_82510_synthetic_0_0.png,c6/img_82510_synthetic_0_0.png
synthetic,c6,img_90192_synthetic_0_0.png,c6/img_90192_synthetic_0_0.png
synthetic,c9,img_51172_synthetic_0_0.png,c9/img_51172_synthetic_0_0.png
synthetic,c9,img_6666_synthetic_0_0.png,c9/img_6666_synthetic_0_0.png
synthetic,c9,img_86613_synthetic_0_0.png,c9/img_86613_synthetic_0_0.png
synthetic,c9,img_92289_synthetic_0_0.png,c9/img_92289_synthetic_0_0.png
synthetic,c9,img_9877_synthetic_0_0.png,c9/img_9877_synthetic_0_0.png
